epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x
0.00298 113.5585465 100 0.001364385905 0.002525204698 104.5195155 13.55854652 3.312490617 1.789762038 
0.003 113.6495435 100 0.001373542857 0.002542152381 104.5498478 13.64954348 3.312490617 1.789762038 
0.00302 113.7405404 100 0.00138269981 0.002559100063 104.5801801 13.74054043 3.312490617 1.789762038 
0.00304 113.8315374 100 0.001391856762 0.002576047746 104.6105125 13.83153739 3.312490617 1.789762038 
0.00306 113.9225343 100 0.001401013714 0.002592995429 104.6408448 13.92253435 3.312490617 1.789762038 
0.00308 114.0135313 100 0.001410170667 0.002609943111 104.6711771 14.0135313 3.312490617 1.789762038 
0.0031 114.1045283 100 0.001419327619 0.002626890794 104.7015094 14.10452826 3.312490617 1.789762038 
0.00312 114.1955252 100 0.001428484571 0.002643838476 104.7318417 14.19552522 3.312490617 1.789762038 
0.00314 114.2865222 100 0.001437641524 0.002660786159 104.7621741 14.28652217 3.312490617 1.789762038 
0.00316 114.3775191 100 0.001446798476 0.002677733841 104.7925064 14.37751913 3.312490617 1.789762038 
0.00318 114.4685161 100 0.001455955429 0.002694681524 104.8228387 14.46851609 3.312490617 1.789762038 
0.0032 114.559513 100 0.001465112381 0.002711629206 104.853171 14.55951304 3.312490617 1.789762038 
0.00322 114.65051 100 0.001474269333 0.002728576889 104.8835033 14.65051 3.312490617 1.789762038 
0.00324 114.741507 100 0.001483426286 0.002745524571 104.9138357 14.74150696 3.312490617 1.789762038 
0.00326 114.8325039 100 0.001492583238 0.002762472254 104.944168 14.83250391 3.312490617 1.789762038 
0.00328 114.9235009 100 0.00150174019 0.002779419937 104.9745003 14.92350087 3.312490617 1.789762038 
0.0033 115.0144978 100 0.001510897143 0.002796367619 105.0048326 15.01449783 3.312490617 1.789762038 
0.00332 115.1054948 100 0.001520054095 0.002813315302 105.0351649 15.10549478 3.312490617 1.789762038 
0.00334 115.1964917 100 0.001529211048 0.002830262984 105.0654972 15.19649174 3.312490617 1.789762038 
0.00336 115.2874887 100 0.001538368 0.002847210667 105.0958296 15.2874887 3.312490617 1.789762038 
0.00338 115.3784857 100 0.001547524952 0.002864158349 105.1261619 15.37848565 3.312490617 1.789762038 
0.0034 115.4694826 100 0.001556681905 0.002881106032 105.1564942 15.46948261 3.312490617 1.789762038 
0.00342 115.5604796 100 0.001565838857 0.002898053714 105.1868265 15.56047957 3.312490617 1.789762038 
0.00344 115.6514765 100 0.00157499581 0.002915001397 105.2171588 15.65147652 3.312490617 1.789762038 
0.00346 115.7424735 100 0.001584152762 0.002931949079 105.2474912 15.74247348 3.312490617 1.789762038 
0.00348 115.8334704 100 0.001593309714 0.002948896762 105.2778235 15.83347043 3.312490617 1.789762038 
0.0035 115.9244674 100 0.001602466667 0.002965844444 105.3081558 15.92446739 3.312490617 1.789762038 
